Nopen,"Nama Kantor","KC/KCU",REG,"Tipe Kantor","T. TRX RITEL","T. REV RITEL","T. BRT RITEL","T. Trx Loket","T. Rev Loket","T. Brt Loket","T. Trx Agenpos","T. Rev Agenpos","T. Brt Agenpos","T. Trx Oranger","T. Rev Oranger","T. Brt Oranger","T. Trx Mplace","T. Rev Mplace","T. Brt Mplace","T. Trx PosAja","T. Rev PosAja","T. Brt PosAja","T. Trx LPU","T. Rev LPU","T. Brt LPU"
60223A,"KPCDK SURABAYA KEDURUS 60223A",60000,5,KPCDK,1,"14,000","0.1",1,"14,000","0.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60216C3,"AGENPOS G-WALK POS 60216C3",60000,5,AGENPOS,4,"776,448","0.26",0,0,0,4,"776,448","0.26",0,0,0,0,0,0,0,0,0,0,0,0
60213A1,"KPCDK SURABAYA LIDAH KULON 60213A",60000,5,KPCDK,7,"117,000","9.1",0,0,0,0,0,0,0,0,0,7,"117,000","9.1",0,0,0,0,0,0
60185C2,"AGENPOS MT 1 60185C2",60000,5,AGENPOS,1,"23,000",2,0,0,0,1,"23,000",2,0,0,0,0,0,0,0,0,0,0,0,0
60173A,"KCP SURABAYAJALANDEMAK 60173A",60000,5,KPCDK,4,"37,800","0.4",4,"37,800","0.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60171S1,"IAK LATISYA 60171S1",60000,5,AGENBB,1,"9,500","0.5",0,0,0,0,0,0,0,0,0,1,"9,500","0.5",0,0,0,0,0,0
60143U1,"AGEN SURABAYASIMOKERTO 60143U1",60000,5,AGENPOS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60135C1,"AGEN AA 60135C1",60000,5,AGENPOS,3,"28,000","0.6",0,0,0,3,"28,000","0.6",0,0,0,0,0,0,0,0,0,0,0,0
60119C4,"AGENPOS PASAR SEMOLOWARU 60119C4",60000,5,AGENPOS,1,"18,000","3.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"18,000","3.3"
60117C1,"AGEN JOHOR POS 60117C1",60000,5,AGENPOS,7,"115,700","4.98",0,0,0,2,"16,200",2,0,0,0,5,"99,500","2.98",0,0,0,0,0,0
60112S4,"PTN Kasih Karunia 60112S4",60000,5,AGENBB,1,"9,500","0.2",0,0,0,0,0,0,0,0,0,1,"9,500","0.2",0,0,0,0,0,0
60111B,"KCP SURABAYAITS 60111B",60000,5,KPCDK,3,"13,250","0.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,"13,250","0.3"
60000E3,"MPS SURABAYA 3 60000E3",60000,5,MPS,1,"12,600",0,1,"12,600",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60000,"KCU SURABAYA 60000",60000,5,KPRK,2,"25,700","0.2",2,"25,700","0.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
