Nopen,"KC/KCU",REG,"T. TRX RITEL","T. REV RITEL","T. BRT RITEL","T. Trx Loket","T. Rev Loket","T. Brt Loket","T. Trx Agenpos","T. Rev Agenpos","T. Brt Agenpos","T. Trx Oranger","T. Rev Oranger","T. Brt Oranger"
68193,68100,5,1,"6,500",1,1,"6,500",1,0,0,0,0,0,0
68183,68100,5,1,"16,000","0.2",1,"16,000","0.2",0,0,0,0,0,0
68168B1,68100,5,34,"636,500","46.1",0,0,0,0,0,0,34,"636,500","46.1"
68164B1,68100,5,1,"85,500",5,0,0,0,0,0,0,1,"85,500",5
68155,68100,5,1,"8,100","0.1",0,0,0,0,0,0,1,"8,100","0.1"
68124,68100,5,1,"8,100","0.1",1,"8,100","0.1",0,0,0,0,0,0
68122U1,68100,5,1,"13,500","0.1",0,0,0,1,"13,500","0.1",0,0,0
68100,68100,5,10,"108,500","0.36",10,"108,500","0.36",0,0,0,0,0,0
67383,67300,5,13,"209,000","23.9",0,0,0,0,0,0,13,"209,000","23.9"
67371,67300,5,3,"63,000","0.9",0,0,0,0,0,0,3,"63,000","0.9"
67361,67300,5,1,"9,100",1,1,"9,100",1,0,0,0,0,0,0
67359B1,67300,5,1,"22,500","1.8",0,0,0,0,0,0,1,"22,500","1.8"
67352,67300,5,1,"9,050","0.3",0,0,0,0,0,0,1,"9,050","0.3"
67300,67300,5,3,"41,100","0.3",0,0,0,0,0,0,3,"41,100","0.3"
67284B1,67200,5,1,"36,000","4.3",0,0,0,0,0,0,1,"36,000","4.3"
67282,67200,5,1,"9,000","0.1",0,0,0,0,0,0,1,"9,000","0.1"
67281,67200,5,1,"31,600",10,0,0,0,0,0,0,1,"31,600",10
67276,67200,5,1,"15,800","0.1",0,0,0,0,0,0,1,"15,800","0.1"
67272,67200,5,1,"20,100",1,0,0,0,0,0,0,1,"20,100",1
67185,67100,5,14,"418,200","13.5",0,0,0,0,0,0,14,"418,200","13.5"
67183B1,67100,5,3,"52,100","6.3",0,0,0,0,0,0,3,"52,100","6.3"
67175,67100,5,1,"15,500","0.2",1,"15,500","0.2",0,0,0,0,0,0
67173,67100,5,1,"14,940",1,0,0,0,0,0,0,1,"14,940",1
67165,67100,5,2,"65,500","2.5",0,0,0,0,0,0,2,"65,500","2.5"
67162,67100,5,1,"8,000",0,0,0,0,0,0,0,1,"8,000",0
67156C2,67100,5,1,"9,900",1,0,0,0,1,"9,900",1,0,0,0
67155,67100,5,1,"10,350","1.3",0,0,0,0,0,0,1,"10,350","1.3"
67100,67100,5,4,"50,850","0.4",4,"50,850","0.4",0,0,0,0,0,0
66381,66300,5,1,"10,000","0.75",0,0,0,0,0,0,1,"10,000","0.75"
66362,66300,5,1,"9,000","0.1",0,0,0,0,0,0,1,"9,000","0.1"
